freq,stage1_db,stage1_deg,stage2_db,stage2_deg,stage3_db,stage3_deg
9.12010839355902e+03,-6.66204332490290e+01,1.31544114190866e+02,-1.36850163992229e+02,-5.66758772671044e+01,-1.91780642610517e+02,4.13760152497373e+01
9.33254300796983e+03,-6.66602952939403e+01,1.29544827351030e+02,-1.37274313017949e+02,-5.93500340373331e+01,-1.92017342143503e+02,3.80857846670012e+01
9.54992586021428e+03,-6.66804303318527e+01,1.27578462866894e+02,-1.37676451647119e+02,-6.20330470339963e+01,-1.92230327247964e+02,3.48273283958876e+01
9.77237220955802e+03,-6.66815609345647e+01,1.25652889563708e+02,-1.38056987579543e+02,-6.47195029569361e+01,-1.92420230675310e+02,3.16035982509653e+01
9.99999999999991e+03,-6.66645430820729e+01,1.23775128924474e+02,-1.38416422158675e+02,-6.74048865490237e+01,-1.92587750428466e+02,2.84167563923516e+01
1.02329299228075e+04,-6.66303387858714e+01,1.21951259111073e+02,-1.38755319029449e+02,-7.00856561979315e+01,-1.92733621720947e+02,2.52681029219907e+01
1.04712854805089e+04,-6.65799877105615e+01,1.20186361092985e+02,-1.39074271719542e+02,-7.27592719816787e+01,-1.92858587539239e+02,2.21580489673256e+01
1.07151930523760e+04,-6.65145793477617e+01,1.18484504552457e+02,-1.39373871808606e+02,-7.54241777062311e+01,-1.92963369487773e+02,1.90861341487067e+01
1.09647819614318e+04,-6.64352270278564e+01,1.16848768846534e+02,-1.39654679119435e+02,-7.80797408863201e+01,-1.93048640369524e+02,1.60510848503568e+01
1.12201845430195e+04,-6.63430447202435e+01,1.15281292755868e+02,-1.39917195074196e+02,-8.07261562418167e+01,-1.93114999666738e+02,1.30509080290265e+01
1.14815362149687e+04,-6.62391272218082e+01,1.13783346036624e+02,-1.40161840056838e+02,-8.33643191431662e+01,-1.93162952785282e+02,1.00830143776383e+01
1.17489755493952e+04,-6.61245340070880e+01,1.12355415803038e+02,-1.40388935348400e+02,-8.59956756756123e+01,-1.93192894651771e+02,7.14436437758496e+00
